,tissue,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new,RAG_clid,RAG_clname,manual_clid,manual_clname
0,Lung,"EMP2, AGER, GPRC5A, LMO7, RTKN2, ARHGEF26, LAMA3, DST, SPOCK2, SCEL",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,pulmonary alveolar type 1 cell,0,1.0000,CL:0002062,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell
1,Lung,"MS4A1, BANK1, LINC00926, CD79A, BLK, CD79B, VPREB3, SP140, CD22, ADAM28",B,B cell,CL:0000236,B cell,3,0.7000,CL:0000819,B-1 B cell,CL:0000236,b cell
2,Lung,"KRT15, S100A2, KRT17, KRT5, KRT19, PERP, CLDN1, FHL2, DST, ITGA2",Basal,basal cell,CL:0000646,basal cell,-1,0.2500,CL:0002324,basal-myoepithelial cell of mammary gland,CL:0000646,basal cell
3,Lung,"S100A9, S100A12, S100A8, VCAN, FCN1, CD300E, CTSS, CD99, CSF3R, METTL9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil,-1,0.5000,CL:0001054,CD14-positive monocyte,CL:0000775,neutrophil
4,Lung,"CD2, IL7R, TRAT1, BCL11B, ITK, CAMK4, CD6, LEF1, MALAT1, MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell,2,0.6000,CL:0000492,CD4-positive helper T cell,CL:0000084,t cell
5,Lung,"RSPH1, CAPS, FAM92B, CDHR3, CCDC170, SNTN, C20orf85, ZMYND10, DNAH6, FANK1",Ciliated,ciliated cell,CL:0000064,ciliated epithelial cell,-1,-1,PATO:0001408,ciliated,CL:0000067,ciliated epithelial cell
6,Lung,"HLA-DPB1, FCGR2B, HLA-DMB, CLEC10A, CSF2RA, MS4A6A, HLA-DQA1, RGS1, GPR183, FPR3",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte,-1,-1,PATO:0002045,dendritic,CL:0000576,monocyte
7,Lung,"FBLN1, ADH1B, DCN, LUM, C1S, C1R, SLIT2, C3, CFD, ABLIM1",Fibroblast,fibroblast,CL:0000057,fibroblast,0,1.0000,CL:0000057,fibroblast,CL:0000057,fibroblast
8,Lung,"CCL21, MMRN1, PROX1, PPFIBP1, TFF3, TBX1, PKHD1L1, IGFBP7, TFPI, TIMP3",Lymphatic,,,goblet cell,-1,0.2857,CL:0002554,fibroblast of lymphatic vessel,CL:0000160,goblet cell
9,Lung,"ACP5, C1QA, C1QB, VSIG4, MARCO, OLR1, APOC1, SLCO2B1, GPD1, ITGAX",Macrophage,macrophage,CL:0000235,alveolar macrophage,-1,0.7143,CL:0000235,macrophage,CL:0000583,alveolar macrophage
10,Lung,"PRF1, NKG7, KLRF1, CD247, GNLY, PYHIN1, KLRD1, SPON2, FCGR3A, GZMB",Natural Killer,natural killer cell,CL:0000623,natural killer cell,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell
11,Lung,"MZB1, DERL3, SEC11C, XBP1, TNFRSF17, SSR4, POU2AF1, HSP90B1, PRDX4, MANF",Plasma,plasma cell,CL:0000786,plasma cell,0,1.0000,CL:0000786,plasma cell,CL:0000786,plasma cell
12,Lung,"SFTPA1, SFTPA2, NAPSA, SFTPB, SFTPD, SFTPC, SLC34A2, ABCA3, LAMP3, LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type II cells,0,1.0000,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell
