,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new,RAG_clid,RAG_clname,manual_clid,manual_clname
0,2000,Lung,4,1.0,"GNG11,EMCN,IL1RL1,EDNRB,RAMP2,CA4,TIMP3,SPARCL1,HPGD,CLDN5",capillary aerocyte,,,endothelial cell,4,0.4286,CL:4028003,alveolar capillary type 2 endothelial cell,CL:0000115,endothelial cell
1,2001,Lung,4,1.0,"MYRF,MS4A15,PKDCC,UPK3B,RTKN2,SCEL,ITLN2,NTM,NCKAP5,ST6GALNAC5",type i pneumocyte,type I pneumocyte,CL:0002062,Club Cells,-1,0.5455,CL:0002062,pulmonary alveolar type 1 cell,CL:0000158,club cell
2,2002,Lung,4,1.0,"SPARCL1,VWF,LIFR,C7,TIMP3,ACKR1,RAMP3,PRSS23,CLU,IGFBP7",vein endothelial cell,vein endothelial cell,CL:0002543,endothelial cell,3,0.5000,CL:0002543,vein endothelial cell,CL:0000115,endothelial cell
3,2003,Lung,4,1.0,"MGP,RARRES2,C1S,MFAP4,C7,FBLN1,DCN,PTGDS,LUM,ADH1B",alveolar fibroblast,,,fibroblast,2,0.6667,CL:4028006,alveolar adventitial fibroblast,CL:0000057,fibroblast
4,2004,Lung,4,1.0,"SEMA3D,PROX1,CCL21,RELN,HOXD9,SCN3B,FOXC2,MMRN1,GPR182,STAB2",endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138,lymphatic endothelial cell,0,1.0000,CL:0002138,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel
5,2005,Lung,4,1.0,"DES,CARMN,PLN,LMOD1,PLAC9,CNN1,CRYAB,PPP1R14A,ACTG2,MYH11",bronchial smooth muscle cell,bronchial smooth muscle cell,CL:0002598,smooth muscle cell,2,0.6667,CL:0002598,bronchial smooth muscle cell,CL:0000192,smooth muscle cell
6,2006,Lung,4,1.0,"SPIB,FAM129C,LILRA4,AL357143.1,CLEC4C,AL139020.1,MZB1,PLD4,LAMP5,SCT",plasmacytoid dendritic cell,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell,0,1.0000,CL:0000784,plasmacytoid dendritic cell,CL:0000784,plasmacytoid dendritic cell
7,2007,Lung,4,1.0,"NEDD4L,CEACAM6,SCGB3A2,PIGR,SFTPB,CYP2B7P,ELF3,FOLR1,GPRC5A,WFDC2",club cell,club cell,CL:0000158,"pulmonary alveolar type 2 cell, club cell",-1,0.5455,CL:0000158,club cell,CL:0002063,pulmonary alveolar type 2 cell
8,2008,Lung,4,1.0,"PLVAP,LIFR,CLU,C7,ACKR1,SPARCL1,VWF,NPDC1,IGFBP7,CLDN5",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,3,0.5000,CL:2000016,lung microvascular endothelial cell,CL:0000115,endothelial cell
9,2009,Lung,4,1.0,"PRELP,C2orf40,COX4I2,PDGFRB,GJA4,PPP1R14A,LMOD1,MYH11,CCN5,BGN",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,endothelial cell of artery,-1,0.2500,CL:0000359,vascular associated smooth muscle cell,CL:1000413,endothelial cell of artery
10,2010,Lung,4,1.0,"PLPPR4,MKRN9P,RSPO1,FABP7,GPR1,LRRC38,AC005821.1,KCTD8,LINC01902,SYT4",myofibroblast cell,myofibroblast cell,CL:0000186,Ciliated cells and Club cells,-1,0.3333,CL:0000186,myofibroblast cell,CL:0000158,club cell
11,2011,Lung,4,1.0,"TPM2,RGN,HIGD1B,COX4I2,BGN,NDUFA4L2,INMT,KCNK3,PDGFRB,PPP1R14A",pericyte cell,pericyte,CL:0000669,endothelial cell,8,0.4000,CL:0000669,pericyte,CL:0000115,endothelial cell
12,2012,Lung,4,1.0,"SYT4,BNC1,VIPR2,PRG4,HAS1,BCHE,ROR2,CPB1,RSPO1,ITLN1",mesothelial cell,mesothelial cell,CL:0000077,non-neuronal secretory cell type,-1,0.2000,CL:0000077,mesothelial cell,CL:0000151,secretory cell
13,2013,Lung,4,1.0,"CACNA1C,AC009269.2,SGIP1,AL135910.1,TARID,COL1A2,ABCA6,SCN7A,BMP5,CARMN",fibroblast,fibroblast,CL:0000057,goblet cell,-1,0.3333,CL:0000057,fibroblast,CL:0000160,goblet cell
14,2014,Lung,4,1.0,"AIF1,LILRB2,LILRA1,CD300E,VCAN,RNASE2,CORO1A,FGL2,MPEG1,FCN1",intermediate monocyte,intermediate monocyte,CL:0002393,nonclassical monocyte,1,0.8000,CL:0002393,intermediate monocyte,CL:0000576,monocyte
15,2015,Lung,4,1.0,"CLCNKB,PROX1,TMPRSS11E,LINC01187,ASCL3,CLNK,DGKI,CEL,ATP6V1G3,HEPACAM2",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,goblet cell,-1,0.5000,CL:0017000,pulmonary ionocyte,CL:0000160,goblet cell
16,2016,Lung,5,0.25,"SCEL,AGER",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,alveolar epithelial cell type I,0,1.0000,CL:0002062,pulmonary alveolar type 1 cell,CL:0002062,pulmonary alveolar type 1 cell
17,2017,Lung,5,0.25,"CD79A,LINC00926",B,B cell,CL:0000236,Not identifiable from provided data,-1,0.2222,CL:0000819,B-1 B cell,CL:4040005,mesenchymal stem cell of apical papilla
18,2018,Lung,5,0.25,"ITGA2,PERP",Basal,basal cell,CL:0000646,Basal Cell,-1,0.2500,CL:0002324,basal-myoepithelial cell of mammary gland,CL:0000646,basal cell
19,2019,Lung,5,0.25,"CD300E,S100A9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,nonclassical monocyte,1,0.8000,CL:0001054,CD14-positive monocyte,CL:0000576,monocyte
20,2020,Lung,5,0.25,"LEF1,CD2",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T cell,2,0.6000,CL:0000492,CD4-positive helper T cell,CL:0000084,t cell
21,2021,Lung,5,0.25,"FANK1,FAM92B",Ciliated,ciliated cell,CL:0000064,ciliated airway epithelial cells,-1,-1,PATO:0001408,ciliated,CL:0000067,ciliated epithelial cell
22,2022,Lung,5,0.25,"HLA-DPB1,GPR183",Dendritic,dendritic cell,CL:0000451,mixed_cell_type,"{'PATO:0002045': 0, 'PATO:0000402': 1, 'PATO:0002009': 2, 'PATO:0000052': 3, 'PATO:0000051': 4, 'PATO:0001241': 5, 'PATO:0000001': 6, 'BFO:0000020': 7}",-1,PATO:0002045,dendritic,,
23,2023,Lung,5,0.25,"SLIT2,DCN",Fibroblast,fibroblast,CL:0000057,fibroblast,0,1.0000,CL:0000057,fibroblast,CL:0000057,fibroblast
24,2024,Lung,5,0.25,"TIMP3,TBX1",Lymphatic,,,basal cell,-1,0.2500,CL:0002554,fibroblast of lymphatic vessel,CL:0000646,basal cell
25,2025,Lung,5,0.25,"C1QB,VSIG4",Macrophage,macrophage,CL:0000235,myeloid dendritic cell,3,0.5000,CL:0000235,macrophage,CL:0000782,myeloid dendritic cell
26,2026,Lung,5,0.25,"KLRD1,PYHIN1",Natural Killer,natural killer cell,CL:0000623,natural killer t cell,0,1.0000,CL:0000623,natural killer cell,CL:0000623,natural killer cell
27,2027,Lung,5,0.25,"TNFRSF17,MZB1",Plasma,plasma cell,CL:0000786,plasma cell,0,1.0000,CL:0000786,plasma cell,CL:0000786,plasma cell
