,dataset,tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt4aug3_annotation,gpt4aug3_CLname,gpt4aug3_CLID,gpt4aug3_broadtype,gpt4aug3_agreement,gpt4mar23_annotation,gpt4mar23_CLname,gpt4mar23_CLID,gpt4mar23_broadtype,gpt4mar23_agreement,gpt3.5aug3_annotation,gpt3.5aug3_CLname,gpt3.5aug3_CLID,gpt3.5aug3_broadtype,gpt3.5aug3_agreement,CellMarker2.0_annotation,CellMarker2.0_CLname,CellMarker2.0_CLID,CellMarker2.0_broadtype,CellMarker2.0_agreement,SingleR_annotation,SingleR_CLname,SingleR_CLID,SingleR_broadtype,SingleR_agreement,ScType_annotation,ScType_CLname,ScType_CLID,ScType_broadtype,ScType_agreement,RAG_annotation,RAG_aggrement_modified,RAG_aggrement_modified_new
0,Azimuth,Lung,"EMP2, AGER, GPRC5A, LMO7, RTKN2, ARHGEF26, LAMA3, DST, SPOCK2, SCEL",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar type II cell,type II pneumocyte,CL:0002063,epithelial cell,0.5,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,0.5,Alveolar epithelial type II cells,type II pneumocyte,CL:0002063,epithelial cell,0.5,Alveolar cell,,,lung cell,0.0,,,,,,,,,,,Basal cell,-1,0.2222
1,Azimuth,Lung,"MS4A1, BANK1, LINC00926, CD79A, BLK, CD79B, VPREB3, SP140, CD22, ADAM28",B,B cell,CL:0000236,b cell,B cell,B cell,CL:0000236,b cell,1.0,B cells,B cell,CL:0000236,b cell,1.0,B lymphocytes,B cell,CL:0000236,b cell,1.0,Naive B cell,naive B cell,CL:0000788,b cell,0.5,,,,,,,,,,,B cell,3,0.7000
2,Azimuth,Lung,"KRT15, S100A2, KRT17, KRT5, KRT19, PERP, CLDN1, FHL2, DST, ITGA2",Basal,basal cell,CL:0000646,stem cell,Basal cell,basal cell,CL:0000646,stem cell,1.0,Basal keratinocytes,basal cell of epidermis,CL:0002187,epithelial cell,0.0,Basal cells,basal cell,CL:0000646,stem cell,1.0,Basal-like cell,basal cell,CL:0000646,stem cell,1.0,,,,,,,,,,,Basal cell,-1,0.2500
3,Azimuth,Lung,"S100A9, S100A12, S100A8, VCAN, FCN1, CD300E, CTSS, CD99, CSF3R, METTL9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Granulocyte,granulocyte,CL:0000094,granulocyte,0.0,Neutrophils,neutrophil,CL:0000775,granulocyte,0.0,Neutrophils,neutrophil,CL:0000775,granulocyte,0.0,Granulocyte,granulocyte,CL:0000094,granulocyte,0.0,,,,,,,,,,,neutrophil,-1,0.5000
4,Azimuth,Lung,"CD2, IL7R, TRAT1, BCL11B, ITK, CAMK4, CD6, LEF1, MALAT1, MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cell,T cell,CL:0000084,t/nk cell,0.5,T cells,T cell,CL:0000084,t/nk cell,0.5,T lymphocytes,T cell,CL:0000084,t/nk cell,0.5,Naive-like T cell,naive T cell,CL:0000898,t/nk cell,0.5,,,,,,,,,,,T cell,2,0.6000
5,Azimuth,Lung,"RSPH1, CAPS, FAM92B, CDHR3, CCDC170, SNTN, C20orf85, ZMYND10, DNAH6, FANK1",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated cell,ciliated cell,CL:0000064,ciliated cell,1.0,Motile cilia cells,,,epithelial cell,0.0,Ciliated cells,ciliated cell,CL:0000064,ciliated cell,1.0,Ciliated cell,ciliated cell,CL:0000064,ciliated cell,1.0,,,,,,,,,,,Ciliated epithelial cells,-1,-1
6,Azimuth,Lung,"HLA-DPB1, FCGR2B, HLA-DMB, CLEC10A, CSF2RA, MS4A6A, HLA-DQA1, RGS1, GPR183, FPR3",Dendritic,dendritic cell,CL:0000451,dendritic cell,Plasma cell,plasma cell,CL:0000786,b cell,0.5,Myeloid dendritic cells,myeloid dendritic cell,CL:0000782,dendritic cell,0.5,Macrophages,macrophage,CL:0000235,macrophage/monocyte,0.5,Conventional dendritic cell 2(cDC2),conventional dendritic cell,CL:0000990,dendritic cell,0.5,,,,,,,,,,,Dendritic cell,-1,-1
7,Azimuth,Lung,"FBLN1, ADH1B, DCN, LUM, C1S, C1R, SLIT2, C3, CFD, ABLIM1",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblast,fibroblast,CL:0000057,fibroblast,1.0,Fibroblasts,fibroblast,CL:0000057,fibroblast,1.0,Fibroblasts,fibroblast,CL:0000057,fibroblast,1.0,Inflammatory cancer-associated fibroblast,,,fibroblast,0.5,,,,,,,,,,,fibroblast,0,1.0000
8,Azimuth,Lung,"CCL21, MMRN1, PROX1, PPFIBP1, TFF3, TBX1, PKHD1L1, IGFBP7, TFPI, TIMP3",Lymphatic,,,immune cell,Lymphatic cell,,,immune cell,0.5,Lymphatic endothelial cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,0.0,Club cells (Clara cells),club cell,CL:0000158,epithelial cell,0.0,Lymphatic endothelial cell,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell,0.0,,,,,,,,,,,lung lymphatic endothelial cell,-1,0.2500
9,Azimuth,Lung,"ACP5, C1QA, C1QB, VSIG4, MARCO, OLR1, APOC1, SLCO2B1, GPD1, ITGAX",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Monocyte,monocyte,CL:0000576,macrophage/monocyte,0.5,Macrophages,macrophage,CL:0000235,macrophage/monocyte,1.0,Smooth muscle cells,smooth muscle cell,CL:0000192,muscle cell,0.0,Alveolar macrophage,alveolar macrophage,CL:0000583,macrophage/monocyte,0.5,,,,,,,,,,,olr1+ classical monocyte,-1,0.5714
