cluster,markers,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt4o_annotation,gpt4o_CLname,gpt4o_CLID,gpt4o_broadtype,gpt4o_word_annotation,gpt4o_word_CLname,gpt4o_word_CLID,gpt4o_word_broadtype,gpt4o_self_annotation,gpt4o_self_CLname,gpt4o_self_CLID,gpt4o_self_broadtype,gpt4o_ref_annotation,gpt4o_ref_CLname,gpt4o_ref_CLID,gpt4o_ref_broadtype
0.1,"LDB2, PTPRM, EBF1, EMCN, TCF4, NRP1, PECAM1, PTPRG, MECOM, IGFBP7, HSPG2, COL4A1, NAV3, SPTBN1, PLEKHG1, ELMO1, PRKCH, ZFPM2, RASAL2, DOCK9, ADAMTS9, PEAK1, COL4A2, SASH1, ABLIM1, LRMDA, APBB2, ARL15, FLRT2, FBXL7, MAGI1, DOCK4, SSH2, UTRN, ZNF521, DLC1, MAP4K4, BMPR2, TTC28, MACF1, TRIO, GNAQ, ASAP1, PTK2, DIAPH2, PPP3CA, STOX2",Ednothelial_cells,endothelial cell,CL:0000115,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,Endothelial,endothelial cell,CL:0000115,endothelial cell,0: Endothelial cells,endothelial cell,CL:0000115,endothelial cell
1.1,"GPC6, BNC2, TENM3, FBXL7, SGCZ, MIR100HG, LSAMP, SLIT3, NAV3, CNTNAP2, NLGN1, COL1A2, EBF1, SGCD, ADGRL3, PRRX1, SEMA3A, PTPRD, COL12A1, CDH11, KCNQ1OT1, ADGRB3, GRID2, FRMD4A, ROBO2, AFF3, SLIT2, CDK14, SETBP1, NCAM2, PCDH9, FBN2, IL1RAPL1, COL5A2, DLC1, PRKG1, BICC1, FLRT2, LDB2, ROBO1, GSE1, ZFHX3, PALLD, EFNA5, TMTC2, TTC28, PTPRG, MIR99AHG, DLG2, TRIO, PLXDC2, ROR1, RBFOX2",Jaw_Mesenchyme,mesenchymal�stem�cell�of�the�bone�marrow,CL:0002540,mesenchymal cell,Neuronal cells,neuron,CL:0000540,neuron,Neural crestderived cells,neural crest cell,CL:0011012,stem cell,Neuronal,neuron,CL:0000540,neuron,1: Neurons,neuron,CL:0000540,neuron
2.1,"RUNX2, COL1A1, COL1A2, FAT3, SATB2, UST, COL24A1, SOX6, ANO5, SLIT3, CD36, COL11A1, MEF2C, MYO10, SLC8A3, COL13A1, MAMDC2, CDH2, MIR181A1HG, ZBTB7C, SDK2, NCAM1, ELMO1, NEAT1, COL5A2, CPE, COL5A1, PCDH9, GPC6, GSN, CDH11, MAGI2, LDLRAD4, LGR4, MALAT1, ROBO2, ADGRB3, NAV3, CDK14, SPARC, TENM3, TRPS1, SLIT2, DLEU2, TMTC2, CADM1, DLG2, SEC31A, ROR2, PSD3, SND1, CLMP, FHOD3, KLF12, ZFHX3, LSAMP, SH3PXD2B, MAP4, KCNQ1OT1, GLG1, FGFR1, ROBO1, PRKG1, LMNA, SIK3, PLEKHA5, AHCYL2, EML4, JMJD1C, MAML3, RABGAP1L, PTPRG, FNDC3B, ADK, IGF2BP2, FRMD4B, RBFOX2, PALLD",Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblasts,osteoblast,CL:0000062,osteoblast,Osteoblast,osteoblast,CL:0000062,osteoblast,2: Osteoblasts,osteoblast,CL:0000062,osteoblast
3.1,"PAX7, AL589740.1, PCDH7, CLCN5, RBFOX1, DLG2, CDH13, LINC01266, ZEB2, NCOA1, PRKG1, GPC3, SPATS2L, FOXP2, SSH2, CELF2, TLN2, KCNQ1OT1, MEG3, TRIO, QKI, TCF4, RBFOX2, CUX1, CDK6, ADGRL3, FBXL7, MACF1, TTC28",Skeletal_myoblasts,skeletal muscle myoblast,CL:0000515,stem cell,Skeletal muscle progenitors,skeletal muscle myoblast,CL:0000515,stem cell,Neural crestderived cells,neural crest cell,CL:0011012,stem cell,Neuronal,neuron,CL:0000540,neuron,3: Satellite cells,skeletal muscle satellite cell,CL:0000594,progenitor cell
4.1,"TTN, MYH3, NEB, RYR1, MYBPC1, TNNT3, LDB3, MYLPF, MYOM1, ACTN2, AGBL1, MEF2C, RBFOX1, TPM2, ANK2, MEG8, MEG3, LAMA2, CACNA2D1, DMD, HIF3A, FGF13, SGCD, PALLD, CELF2, LRRFIP1, GNAS, PRKG1, MICU1, MAP4, DLG2, SPTBN1, TMEM108, MACF1, KIF1B, SVIL, NCOA1, NAV2, QKI, PPP1R9A, RBFOX2, AKAP9",Skeletal_myocytes,cell of skeletal muscle,CL:0000188,muscle cell,Skeletal muscle cells,cell of skeletal muscle,CL:0000188,muscle cell,Skeletal muscle cells,cell of skeletal muscle,CL:0000188,muscle cell,Skeletal Muscle Myocyte,cell of skeletal muscle,CL:0000188,muscle cell,4: Skeletal muscle cells,cell of skeletal muscle,CL:0000188,muscle cell
6.1,"KRT13, KRT6A, KRT16, SPRR1B, S100A8, S100A9, SPINK5, SPRR3, KRT4, DSG3, AC068051.1, DSP, DSC2, EMP1, KRT17, ANXA1, PERP, PPL, KRT5, NEAT1, DOCK3, AHNAK, CAST, ANXA2, ACTG1, PITX1, RPLP1, RAB11FIP1, CDH1, CUX1, ACTB, TMOD3, ABLIM1, KRT19, LINC00511, CAMK1D, PSD3, RAB10, PTPRF, SLC24A3, FER, VIM, EXOC6B, MALAT1, NEBL, PDZD2, ADGRL2, EGFR, GTF2IRD1, KDM2A, ROBO2, ARL15, DLG1",Oral_epithelium,oral mucosa squamous cell,CL:1001576,epithelial cell,Epithelial cells,epithelial cell,CL:0000066,epithelial cell,Keratinized epithelial cells,keratinocyte,CL:0000312,epithelial cell,Keratinocyte,keratinocyte,CL:0000312,epithelial cell,6: Keratinocytes,keratinocyte,CL:0000312,epithelial cell
7.1,"KRT17, KRT5, NLGN1, PRKCA, CASC15, SLC20A2, DST, TNFRSF19, LINC01060, CUX2, PLXDC2, SCUBE3, MIR99AHG, MPPED1, RYR2, ENOX1, KCNIP4, RPLP1, FRAS1, BNC2, ROR2, PSD3, PCDH7, ARHGAP26, SDK1, ADGRL3, TENM3, AFF3, MSI2, CNTN4, EXOC6B, MACF1, LAMB1, C9orf3, ATXN1, CUX1, AHCYL2, MAGI1, TRIO, NRXN3, FGFR2, KANK1, HMGA2, WWOX, FLNB, GRIP1, MAML3, EFNA5, ASAP1, GTF2IRD1, PALLD, CADM1",Dental_epithelium,preameloblast,CL:0007000,epithelial cell,Neural progenitors,neural progenitor cell,CL:0011020,progenitor cell,Basal epithelial cells,basal cell,CL:0000646,stem cell,Keratinocyte,keratinocyte,CL:0000312,epithelial cell,7: Epithelial cells,epithelial cell,CL:0000066,epithelial cell
9.1,"SGCZ, COL1A1, COL1A2, GPC6, VIM, COL12A1, MIR100HG, TENM3, BNC2, ACTG1, EBF1, NCAM2, NAV3, CNTNAP2, FBN2, CDH11, COL3A1, ADGRL3, COL5A1, SLIT2, IGFBP5, SGCD, COL6A2, LSAMP, PCDH9, COL5A2, PRRX1, FOXP2, NLGN1, KCNQ1OT1, ALCAM, CDK14, ZFHX3, FLRT2, AFF3, FRMD4A, SETBP1, SLIT3, CAMK1D, GSE1, TRIO, SDK1, PALLD",Respiratory_epithelium,respiratory epithelial cell,CL:0002368,epithelial cell,Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell,Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell,Mesenchymal Stem/Stromal,stromal�cell,CL:0000499,,9: Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell
10.1,"ROBO1, DLG2, SOX5, CDH12, KCNIP4, COL3A1, LSAMP, SATB2, COL1A1, COL1A2, NLGN1, TMTC2, PTPRD, HDAC9, RUNX2, PTCH1, PTN, NRXN1, CDH11, VCAN, RSPO4, PLXDC2, GALNTL6, CACNB2, ROBO2, ADGRL3, NRG3, SYT1, AC109466.1, HMGA2, TMEM132C, VIM, GPC6, CDH13, SLIT3, CASC15, NEGR1, TMTC1, FGF13, EPHA3, KIF26B, FBN2, NFIC, IL1RAPL1, CNTN4, FBXL7, AFF3, FAT3, ROR2, TENM3, CLMP, PCDH9, COL6A2, PRRX1, KAZN, FLRT2, PDE5A, PRKG1, KLF12, PTPRG, PRKD1, GLI3, TEAD1, PHIP, RBFOX2, DLC1, TTC28, FRMD4A, PPP3CA, SETBP1",Dental_mesenchyme,dental pulp cell,CL:4030035,mesenchymal cell,Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell,Osteoblasts,osteoblast,CL:0000062,osteoblast,Mesenchymal Stem/Stromal,stromal�cell,CL:0000499,,10: Fibroblasts,fibroblast,CL:0000057,fibroblast
11.1,"SFMBT2, AFF3, PRKCA, ELMO1, FCHSD2, RBPJ, RUNX1, LRMDA, QKI, ITPR2, MBNL1, PLXDC2, CELF2, FRMD4A, RABGAP1L, DIAPH2",Immune_cells,leukocyte,CL:0000738,immune cell,Leukocytes,leukocyte,CL:0000738,,Mesenchymal stem cells,mesenchymal stem cell,CL:0000134,stem cell,Hematopoietic Stem/Progenitor,hematopoietic stem cell,CL:0000037,stem cell,11: Hematopoietic stem/progenitor cells,hematopoietic stem cell,CL:0000037,stem cell
