,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,simuround,tissue,noise,marker,manual_annotation,manual_CLname,manual_CLID,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_annotation,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_annotation,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_CLID,gpt-4-0613_Clname,gpt-4-turbo-2024-04-09_Clname,gpt-4o-2024-08-06_Clname,gpt-4o-mini-2024-07-18_Clname,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
0,0,0,0,1,Lung,0.25,"ARHGEF26,LMO7,AGER,EMP2,GENE37,RTKN2,GPRC5A,SPOCK2,DST,SCEL,LAMA3,GENE83",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,Alveolar Epithelial Cells,CL:0000322,Endothelial Cells,CL:0000115,Keratinocyte,1. Keratinocyte,CL:0000312,CL:0000312,keratinocyte,keratinocyte,pulmonary alveolar epithelial cell,endothelial cell,-1,-1,1,16
1,1,1,1,1,Lung,0.25,"GENE65,MS4A1,LINC00926,BLK,SP140,CD79A,GENE48,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B Cells,CL:0000236,B Cells,CL:0000236,B Cell,2. B cell,CL:0000236,CL:0000236,b cell,b cell,b cell,b cell,0,0,0,0
2,2,2,2,1,Lung,0.25,"CLDN1,GENE9,S100A2,KRT15,KRT5,FHL2,GENE32,DST,KRT17,PERP,ITGA2,KRT19",Basal,basal cell,CL:0000646,Basal Cells,CL:0000646,Basal Cells,CL:0000646,Basal Cell,3. Basal epithelial cell,CL:0000646,CL:0002236,basal cell,basal epithelial cell of prostatic duct,basal cell,basal cell,0,-1,0,0
3,3,3,3,1,Lung,0.25,"CSF3R,S100A9,S100A8,CTSS,METTL9,CD99,GENE84,VCAN,S100A12,FCN1,GENE97,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,Neutrophils,CL:0000775,Neutrophils,CL:0000775,Monocyte,4. Granulocyte or Myeloid cell,CL:0000576,CL:0000763,monocyte,myeloid cell,neutrophil,neutrophil,1,3,-1,-1
4,4,4,4,1,Lung,0.25,"CD2,MALAT1,GENE52,GENE30,BCL11B,CD6,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,T Cells,CL:0000084,T Cells,CL:0000084,T Cell,5. T cell,CL:0000084,CL:0000084,t cell,t cell,t cell,t cell,3,3,3,3
5,5,5,5,1,Lung,0.25,"GENE39,GENE7,C20orf85,DNAH6,FAM92B,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,Ciliated Cells,CL:0000064,Ciliated Cells,CL:0000064,Ciliated Cell,6. Epithelial cell,CL:0000064,CL:0000066,ciliated cell,epithelial cell,ciliated cell,ciliated cell,0,13,0,0
6,6,6,6,1,Lung,0.25,"FCGR2B,HLA-DMB,GENE63,HLA-DQA1,CLEC10A,CSF2RA,GPR183,FPR3,GENE17,HLA-DPB1,RGS1,MS4A6A",Dendritic,dendritic cell,CL:0000451,Macrophages,CL:0000235,Antigen Presenting Cells,CL:0000145,Dendritic Cell,7. B cell,CL:0000451,CL:0000236,dendritic cell,b cell,macrophage,professional antigen presenting cell,0,-1,-1,1
7,7,7,7,1,Lung,0.25,"GENE82,C1S,LUM,ABLIM1,CFD,C3,C1R,GENE56,FBLN1,DCN,SLIT2,ADH1B",Fibroblast,fibroblast,CL:0000057,Fibroblasts,CL:0000057,Fibroblasts,CL:0000057,Mesenchymal Cell,8. Fibroblast,CL:0008019,CL:0000057,mesenchymal cell,fibroblast,fibroblast,fibroblast,-1,0,0,0
8,8,8,8,1,Lung,0.25,"TFF3,TFPI,GENE30,CCL21,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,GENE28,TIMP3,TBX1",Lymphatic,,,Myoepithelial Cells,CL:0000185,Club Cells,CL:0000158,Lymphatic Endothelial Cell,9. Lymphatic endothelial cell,CL:0002138,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,myoepithelial cell,club cell,-1,-1,-1,-1
9,9,9,9,1,Lung,0.25,"APOC1,C1QB,C1QA,VSIG4,SLCO2B1,GENE44,ACP5,GENE48,ITGAX,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,Macrophages,CL:0000235,Macrophages,CL:0000235,Macrophage,10. Macrophage or Dendritic cell,CL:0000235,CL:0002009,macrophage,macrophage dendritic cell progenitor,macrophage,macrophage,0,4,0,0
