tissue,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4o-2024-08-06_annotation,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-2024-08-06_myRAG_annotation,gpt-4o-2024-08-06_myRAG_Clname,gpt-4o-2024-08-06_myRAG_CLID
Lung,"EMP2, AGER, GPRC5A, LMO7, RTKN2, ARHGEF26, LAMA3, DST, SPOCK2, SCEL",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Epithelial Cells,epithelial cell,CL:0000066,pulmonary alveolar type 1 cell,pulmonary alveolar type 1 cell,CL:0002062
Lung,"MS4A1, BANK1, LINC00926, CD79A, BLK, CD79B, VPREB3, SP140, CD22, ADAM28",B,B cell,CL:0000236,b cell,B Cells,b cell,CL:0000236,B cell,b cell,CL:0000236
Lung,"KRT15, S100A2, KRT17, KRT5, KRT19, PERP, CLDN1, FHL2, DST, ITGA2",Basal,basal cell,CL:0000646,stem cell,Basal Epithelial Cells,basal epithelial cell of prostatic duct,CL:0002236,basal cell,basal cell,CL:0000646
Lung,"S100A9, S100A12, S100A8, VCAN, FCN1, CD300E, CTSS, CD99, CSF3R, METTL9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Neutrophils,neutrophil,CL:0000775,classical monocyte,classical monocyte,CL:0000860
Lung,"CD2, IL7R, TRAT1, BCL11B, ITK, CAMK4, CD6, LEF1, MALAT1, MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T Cells,t cell,CL:0000084,t cell,t cell,CL:0000084
Lung,"RSPH1, CAPS, FAM92B, CDHR3, CCDC170, SNTN, C20orf85, ZMYND10, DNAH6, FANK1",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated Cells,ciliated cell,CL:0000064,ciliated cell,ciliated cell,CL:0000064
Lung,"HLA-DPB1, FCGR2B, HLA-DMB, CLEC10A, CSF2RA, MS4A6A, HLA-DQA1, RGS1, GPR183, FPR3",Dendritic,dendritic cell,CL:0000451,dendritic cell,M2 Macrophages,alternatively activated macrophage,CL:0000890,dendritic cell,dendritic cell,CL:0000451
Lung,"FBLN1, ADH1B, DCN, LUM, C1S, C1R, SLIT2, C3, CFD, ABLIM1",Fibroblast,fibroblast,CL:0000057,fibroblast,Fibroblasts,fibroblast,CL:0000057,fibroblast,fibroblast,CL:0000057
Lung,"CCL21, MMRN1, PROX1, PPFIBP1, TFF3, TBX1, PKHD1L1, IGFBP7, TFPI, TIMP3",Lymphatic,,,immune cell,Lymphatic Endothelial Cells,endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of lymphatic vessel,endothelial cell of lymphatic vessel,CL:0002138
Lung,"ACP5, C1QA, C1QB, VSIG4, MARCO, OLR1, APOC1, SLCO2B1, GPD1, ITGAX",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Alveolar Macrophages,alveolar macrophage,CL:0000583,macrophage,macrophage,CL:0000235
