,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
0,0,0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Epithelial cells,Alveolar Epithelial Cells,Epithelial Cells,Type II alveolar epithelial cells,pulmonary alveolar epithelial cell,CL:0000322,epithelial cell,CL:0000066,epithelial cell,CL:0000066,pulmonary alveolar type 2 cell,CL:0002063,1,3,3,-1
1,1,1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,b cell,B cells,B Lymphocytes,B Cells,B cells,B cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,0,0,0,0
2,2,2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,stem cell,Epithelial cells,Epithelial Cells,Epithelial Cells,Alveolar macrophages,epithelial cell,CL:0000066,epithelial cell,CL:0000066,epithelial cell,CL:0000066,alveolar macrophage,CL:0000583,17,17,17,-1
3,3,3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Myeloid cells,Neutrophils,Macrophages,Neutrophils,neutrophil,CL:0000775,myeloid cell,CL:0000763,macrophage,CL:0000235,neutrophil,CL:0000775,-1,3,3,-1
4,4,4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T Lymphocytes,T Cells,T cells,T cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,3,3,3,3
5,5,5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,ciliated cell,Epithelial cells,Fibroblasts,Stromal Cells,Unknown interstitial cells,fibroblast,CL:0000057,epithelial cell,CL:0000066,stromal cell,CL:0000499,interstitial cell,CL:4030031,-1,13,-1,-1
6,6,6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,Myeloid cells,Monocytes,Dendritic Cells,Dendritic cells,monocyte,CL:0000576,myeloid cell,CL:0000763,dendritic cell,CL:0000451,dendritic cell,CL:0000451,-1,-1,0,0
7,7,7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,fibroblast,Complement system components,Macrophages,Fibroblasts,Macrophages,macrophage,CL:0000235,visual system neuron,CL:0008028,fibroblast,CL:0000057,macrophage,CL:0000235,-1,-1,0,-1
8,8,8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,immune cell,Epithelial cells,Goblet Cells,Club Cells,Goblet cells,goblet cell,CL:0000160,epithelial cell,CL:0000066,club cell,CL:0000158,goblet cell,CL:0000160,-1,-1,-1,-1
9,9,9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,Alveolar Macrophages,Macrophages,Macrophages,alveolar macrophage,CL:0000583,macrophage,CL:0000235,macrophage,CL:0000235,macrophage,CL:0000235,-1,0,0,0
10,10,10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer Cells,Natural Killer Cells,Natural Killer Cells,Natural Killer Cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0
11,11,11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,b cell,Type II Pneumocytes,Alveolar Type II Cells,Endothelial Cells,Alveolar Type II Cells,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,endothelial cell,CL:0000115,pulmonary alveolar type 2 cell,CL:0002063,-1,-1,-1,-1
12,12,12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,Type II Pneumocytes,Alveolar Epithelial Cells,Type II Pneumocytes,Surfactant-Production Cells,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,pulmonary alveolar type 2 cell,CL:0002063,surfactant secreting cell,CL:0000157,1,0,0,1
13,13,13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,Mast Cells,Mast Cells,Mast Cells,Mast Cells,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,mast cell,CL:0000097,-1,-1,-1,-1
14,14,14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,macrophage/monocyte,Alveolar Macrophages,Alveolar Macrophages,Macrophages,Macrophages,alveolar macrophage,CL:0000583,alveolar macrophage,CL:0000583,macrophage,CL:0000235,macrophage,CL:0000235,-1,-1,-1,-1
15,15,15,Lung,1,0.25,"CDH5,CD81",Capillary,,,blood vessel cell,Endothelial Cells,Endothelial Cells,Endothelial Cells,Endothelial Cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,-1,-1,-1,-1
