,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
0,0,0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,"Alveolar Epithelial Type 1, Capillary Aerocyte","Alveolar Epithelial Type 1, Capillary Aerocyte, CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T",Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
1,1,1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,b cell,B,B,B,B
2,2,2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,stem cell,"Basal, Proximal Basal, Differentiating Basal","Basal, Proximal Basal, Differentiating Basal",Basal,Basal
3,3,3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,"Classical Monocyte, OLR1+ Classical Monocyte","Classical Monocyte, OLR1+ Classical Monocyte",Classical Monocyte,Classical Monocyte
4,4,4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,"CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T, Natural Killer T","CD8+ Memory/Effector T, CD8+ Naive T, CD4+ Memory/Effector T, CD4+ Naive T",CD4+ Memory/Effector T,T
5,5,5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,ciliated cell,"Ciliated, Proximal Ciliated","Ciliated, Proximal Ciliated",Ciliated,Ciliated
6,6,6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,"Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic","Myeloid Dendritic Type 1, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic",Dendritic,Myeloid Dendritic Type 1
7,7,7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,fibroblast,"Adventitial Fibroblast, Alveolar Fibroblast, Macrophage, Proliferating Macrophage","Adventitial Fibroblast, Alveolar Fibroblast, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Adventitial Fibroblast,Alveolar Fibroblast
8,8,8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,immune cell,Lymphatic,"Proximal Ciliated, Goblet, Mucous, Ionocyte, Neuroendocrine, Lymphatic",Lymphatic,Goblet
9,9,9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage/monocyte,"Macrophage, Proliferating Macrophage, Mesothelial","Macrophage, Proliferating Macrophage, Mesothelial, Macrophage, Proliferating Macrophage, TREM2+ Dendritic",Macrophage,Macrophage
10,10,10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,t/nk cell,"Natural Killer, CD8+ Naive T","Natural Killer, CD8+ Naive T, CD8+ Memory/Effector T, Natural Killer T",Natural Killer,Natural Killer T
11,11,11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,b cell,Plasma,"Plasma, Plasmacytoid Dendritic, Goblet",Goblet,Goblet
12,12,12,Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,epithelial cell,"Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Club",Alveolar Epithelial Type 2,Alveolar Epithelial Type 2
13,13,13,Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",granulocyte,"Basophil/Mast 1, Basophil/Mast 2","Basophil/Mast 1, Basophil/Mast 2, Bronchial Vessel 2",Basophil/Mast,Basophil/Mast 1
14,14,14,Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,macrophage/monocyte,Nonclassical Monocyte,"Basal, Capillary Intermediate 2, Bronchial Vessel 2, CD8+ Naive T, Natural Killer T, Natural Killer, Nonclassical Monocyte, Intermediate Monocyte, Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2",Nonclassical Monocyte,Nonclassical Monocyte
15,15,15,Lung,1,0.25,"CDH5,CD81",Capillary,,,blood vessel cell,"Capillary, Macrophage","Capillary, Capillary Aerocyte, Alveolar Epithelial Type 1, Signaling Alveolar Epithelial Type 2, Vein, Macrophage, Proliferating Macrophage, IGSF21+ Dendritic, TREM2+ Dendritic",Capillary,Capillary
16,16,16,Lung,1,0.25,"RPL34,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,t/nk cell,CD4+ Naive T,"Basal, Proximal Basal, Differentiating Basal, Signaling Alveolar Epithelial Type 2, Capillary Intermediate 2, Bronchial Vessel 1, Lymphatic, Airway Smooth Muscle, Lipofibroblast, Mesothelial, B, CD4+ Naive T, Basophil/Mast 1, Basophil/Mast 2, Club",Basal,"Club, Basal"
17,17,17,Lung,1,0.25,"KIAA1324,CTSE",Club,club cell,CL:0000158,epithelial cell,Club,"Club, Differentiating Basal, Goblet, Signaling Alveolar Epithelial Type 2, Alveolar Epithelial Type 1",Club,"Club, Alveolar Epithelial Type 1"
18,18,18,Lung,1,0.25,"POSTN,CALD1",Myofibroblast,myofibroblast cell,CL:0000186,myofibroblast cell,Myofibroblast,"Basal, Proliferating Basal, Neuroendocrine, Vascular Smooth Muscle, Pericyte, Proximal Basal, Ionocyte, Bronchial Vessel 1, Myofibroblast",Proximal Basal,"Proximal Basal, Basal"
19,19,19,Lung,1,0.25,"NPC2,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,dendritic cell,"Signaling Alveolar Epithelial Type 2, Plasmacytoid Dendritic","Alveolar Epithelial Type 2, Signaling Alveolar Epithelial Type 2, Vein, Bronchial Vessel 1, Myofibroblast, Lipofibroblast, Mesothelial, Macrophage, Proliferating Macrophage, Plasmacytoid Dendritic, Myeloid Dendritic Type 2, IGSF21+ Dendritic, EREG+ Dendritic, TREM2+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte, Serous, Lymphatic, Plasma, Plasmacytoid Dendritic, Myeloid Dendritic Type 1, OLR1+ Classical Monocyte.",Plasmacytoid Dendritic,"Signaling Alveolar Epithelial Type 2, Plasmacytoid Dendritic"
