,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation
500,500,500,500,Lung,1,1.0,"VIPR2,RSPO1,BNC1,HAS1,BCHE,SYT4,PRG4,ROR2,ITLN1,CPB1",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,Mesothelial,"Alveolar Fibroblast, Myofibroblast, Mesothelial, Adventitial Fibroblast, Lipofibroblast",Alveolar Fibroblast,"CD4+ Naive T, Alveolar Fibroblast, Adventitial Fibroblast, Myofibroblast"
501,501,501,501,Lung,1,1.0,"CARMN,TARID,SCN7A,AL135910.1,SGIP1,COL1A2,BMP5,ABCA6,AC009269.2,CACNA1C",fibroblast,fibroblast,CL:0000057,fibroblast,Pericyte,"Vascular Smooth Muscle, Pericyte, Adventitial Fibroblast",Pericyte,"Vascular Smooth Muscle, Pericyte, Adventitial Fibroblast"
502,502,502,502,Lung,1,1.0,"VCAN,MPEG1,AIF1,RNASE2,LILRB2,FGL2,LILRA1,CORO1A,FCN1,CD300E",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,Classical Monocyte,"EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Monocyte,"B (B cell), Classical Monocyte, Nonclassical Monocyte, Myeloid Dendritic Type 2"
503,503,503,503,Lung,1,1.0,"PROX1,ASCL3,CEL,DGKI,HEPACAM2,CLNK,TMPRSS11E,LINC01187,CLCNKB,ATP6V1G3",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,Ionocyte,"Ionocyte, Alveolar Fibroblast, Neuroendocrine",Ionocyte,"Ionocyte, Proximal Basal, Alveolar Epithelial Type 1, Neuroendocrine, Basal"
504,504,504,504,Lung,2,0.25,"LMO7,ARHGEF26",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1,Alveolar Epithelial Type 1
505,505,505,505,Lung,2,0.25,"VPREB3,CD22",B,B cell,CL:0000236,b cell,B,B,B,"B, Basophil/Mast 1"
506,506,506,506,Lung,2,0.25,"KRT15,PERP",Basal,basal cell,CL:0000646,stem cell,Basal,"Basal, Proximal Basal, Proliferating Basal",Basal,"Proliferating Basal, Basal"
507,507,507,507,Lung,2,0.25,"CD300E,FCN1",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Classical Monocyte,"EREG+ Dendritic, Classical Monocyte, OLR1+ Classical Monocyte, Nonclassical Monocyte, Intermediate Monocyte",Monocyte,"Classical Monocyte, Intermediate Monocyte"
508,508,508,508,Lung,2,0.25,"CAMK4,MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,CD4+ Naive T,"Ionocyte, Alveolar Fibroblast, Plasma, CD4+ Naive T",Ionocyte,"Ionocyte, Alveolar Fibroblast"
509,509,509,509,Lung,2,0.25,"C20orf85,FANK1",Ciliated,ciliated cell,CL:0000064,ciliated cell,Ciliated,"Ciliated, Proximal Ciliated, Platelet/Megakaryocyte",Ciliated,"Ciliated, Proximal Ciliated, Platelet/Megakaryocyte"
