,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified
0,0,Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,Fibroblasts,Cardiomyocytes,Epithelial cells,Epithelial cells,fetal cardiomyocyte,CL:0002495,fibroblast,CL:0000057,epithelial cell,CL:0000066,epithelial cell,CL:0000066,-1,9,3,3
1,1,Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,b cell,B cells,B Cells,B cells,B cells,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,0,0,0,0
2,2,Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,stem cell,Epithelial cells,Hepatocytes,Epithelial cells,Club cells,hepatocyte,CL:0000182,epithelial cell,CL:0000066,epithelial cell,CL:0000066,club cell,CL:0000158,-1,17,17,-1
3,3,Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Myeloid cells,Neutrophils,Neutrophils,Neutrophils,neutrophil,CL:0000775,myeloid cell,CL:0000763,neutrophil,CL:0000775,neutrophil,CL:0000775,-1,3,-1,-1
4,4,Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T Cells,T cells,T cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,3,3,3,3
5,5,Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,ciliated cell,Unknown,Breast epithelial cells,Fibroblasts,Fibroblasts,mammary gland epithelial cell,CL:0002327,cyanophore,CL:0000747,fibroblast,CL:0000057,fibroblast,CL:0000057,-1,-1,-1,-1
6,6,Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,dendritic cell,Myeloid cells,Monocytes,Dendritic cells,Dendritic cells,monocyte,CL:0000576,myeloid cell,CL:0000763,dendritic cell,CL:0000451,dendritic cell,CL:0000451,-1,-1,0,0
7,7,Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,fibroblast,Complement system cells,Macrophages,Hepatocytes,Macrophages,macrophage,CL:0000235,His-Purkinje system cell,CL:0010007,hepatocyte,CL:0000182,macrophage,CL:0000235,-1,-1,-1,-1
8,8,Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,immune cell,Epithelial cells,Goblet Cells,Goblet cells,Mucous cells,goblet cell,CL:0000160,epithelial cell,CL:0000066,goblet cell,CL:0000160,mucus secreting cell,CL:0000319,-1,-1,-1,-1
9,9,Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage/monocyte,Macrophages,Monocytes,Macrophages,Alveolar macrophages,monocyte,CL:0000576,macrophage,CL:0000235,macrophage,CL:0000235,alveolar macrophage,CL:0000583,1,0,0,-1
10,10,Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,t/nk cell,Natural Killer cells,Natural Killer Cells,Natural Killer Cells,Natural killer cells,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,natural killer cell,CL:0000623,0,0,0,0
11,11,Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,b cell,Unknown,Endoplasmic Reticulum Cells,Pulmonary Alveolar Epithelial Cells,Type II alveolar cells,reticular cell,CL:0000432,cyanophore,CL:0000747,pulmonary alveolar epithelial cell,CL:0000322,pulmonary alveolar type 2 cell,CL:0002063,-1,-1,-1,-1
