,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,manual_broadtype,gpt-4-turbo-2024-04-09_annotation,gpt-4-0613_annotation,gpt-4o-2024-08-06_annotation,gpt-4o-mini-2024-07-18_annotation,gpt-4-0613_Clname,gpt-4-0613_CLID,gpt-4-turbo-2024-04-09_Clname,gpt-4-turbo-2024-04-09_CLID,gpt-4o-2024-08-06_Clname,gpt-4o-2024-08-06_CLID,gpt-4o-mini-2024-07-18_Clname,gpt-4o-mini-2024-07-18_CLID,gpt-4-0613_aggrement_modified,gpt-4-turbo-2024-04-09_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified,gpt-4o-mini-2024-07-18_aggrement_modified,gpt-4o-2024-08-06_aggrement_modified_new,gpt-4o-mini-2024-07-18_aggrement_modified_new,gpt-4-0613_aggrement_modified_new,gpt-4-turbo-2024-04-09_aggrement_modified_new
0,1000,1000,1000,Lung,2,1.0,"SPARCL1,C7,IGFBP7,LIFR,PLVAP,ACKR1,VWF,NPDC1,CLDN5,CLU",lung microvascular endothelial cell,lung microvascular endothelial cell,CL:2000016,endothelial cell,18. Endothelial cell,Endothelial Cells,Endothelial Cells,Endothelial cells,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,endothelial cell,CL:0000115,3,3,3,3,0.5000,0.5000,0.5000,0.5000
1,1001,1001,1001,Lung,2,1.0,"COX4I2,MYH11,CCN5,PDGFRB,PPP1R14A,LMOD1,PRELP,BGN,GJA4,C2orf40",vascular associated smooth muscle cell,vascular associated smooth muscle cell,CL:0000359,muscle cell,19. Smooth muscle cell,Smooth Muscle Cells,Smooth Muscle Cells,Smooth muscle cells,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,smooth muscle cell,CL:0000192,1,1,1,1,0.8000,0.8000,0.8000,0.8000
2,1002,1002,1002,Lung,2,1.0,"LINC01902,AC005821.1,GPR1,LRRC38,RSPO1,MKRN9P,FABP7,PLPPR4,KCTD8,SYT4",myofibroblast cell,myofibroblast cell,CL:0000186,myofibroblast cell,20. Neural cell,Neurons,Clara Cells,Fibroblasts,neuron,CL:0000540,neural cell,CL:0002319,club cell,CL:0000158,fibroblast,CL:0000057,9,9,-1,-1,0.3333,0.6000,0.3333,0.4000
3,1003,1003,1003,Lung,2,1.0,"KCNK3,PDGFRB,RGN,PPP1R14A,BGN,TPM2,HIGD1B,INMT,COX4I2,NDUFA4L2",pericyte cell,pericyte,CL:0000669,pericyte,21. Pulmonary artery smooth muscle cell,Smooth Muscle Cells,Pericytes,Immune cells,smooth muscle cell,CL:0000192,smooth muscle cell of the pulmonary artery,CL:0002591,pericyte,CL:0000669,leukocyte,CL:0000738,-1,-1,0,-1,1.0000,0.4000,0.3333,0.2500
4,1004,1004,1004,Lung,2,1.0,"ITLN1,ROR2,RSPO1,PRG4,VIPR2,CPB1,BNC1,SYT4,HAS1,BCHE",mesothelial cell,mesothelial cell,CL:0000077,epithelial cell,22. Omentum,Stomach Intestinal Cells,Club Cells,Epithelial cells,stomach neuroendocrine cell,CL:1000222,omentum,UBERON:0003688,club cell,CL:0000158,epithelial cell,CL:0000066,-1,-1,-1,2,0.3750,0.6000,0.3750,-1
5,1005,1005,1005,Lung,2,1.0,"SGIP1,SCN7A,COL1A2,BMP5,CARMN,AL135910.1,TARID,ABCA6,CACNA1C,AC009269.2",fibroblast,fibroblast,CL:0000057,fibroblast,23. Chondrocyte,Cardiomyocytes,Fibroblasts,Mesenchymal cells,fetal cardiomyocyte,CL:0002495,chondrocyte,CL:0000138,fibroblast,CL:0000057,mesenchymal cell,CL:0008019,-1,-1,0,-1,1.0000,0.4000,0.2857,0.3750
6,1006,1006,1006,Lung,2,1.0,"VCAN,AIF1,FCN1,RNASE2,LILRA1,MPEG1,LILRB2,FGL2,CD300E,CORO1A",intermediate monocyte,intermediate monocyte,CL:0002393,macrophage/monocyte,24. Fibroblast,Macrophages,Macrophages,Lymphatic endothelial cells,macrophage,CL:0000235,fibroblast,CL:0000057,macrophage,CL:0000235,endothelial cell of lymphatic vessel,CL:0002138,3,12,3,-1,0.5714,0.2500,0.5714,0.2857
7,1007,1007,1007,Lung,2,1.0,"CEL,LINC01187,HEPACAM2,ASCL3,CLNK,PROX1,DGKI,ATP6V1G3,TMPRSS11E,CLCNKB",pulmonary ionocyte,pulmonary ionocyte,CL:0017000,epithelial cell,25. Myeloid cell,Pancreatic Cells,Alveolar Type II Cells,Alveolar cells,pancreatic A cell,CL:0000171,myeloid cell,CL:0000763,pulmonary alveolar type 2 cell,CL:0002063,alveolar macrophage,CL:0000583,-1,17,-1,-1,0.6667,0.2222,0.4000,0.3333
8,1008,1008,1008,Lung,3,0.25,"EMP2,RTKN2",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,epithelial cell,T cells,Endothelial cells,Alveolar Type I Cells,B cells,endothelial cell,CL:0000115,t cell,CL:0000084,pulmonary alveolar type 1 cell,CL:0002062,b cell,CL:0000236,16,-1,0,-1,1.0000,0.1818,0.2857,0.2000
9,1009,1009,1009,Lung,3,0.25,"VPREB3,BANK1",B,B cell,CL:0000236,b cell,B cells,B lymphocytes,B Cells,Marginal zone B cells,B cell,CL:0000236,b cell,CL:0000236,b cell,CL:0000236,marginal zone B cell of lymph node,CL:0009060,0,0,0,-1,1.0000,0.7000,1.0000,1.0000
10,1010,1010,1010,Lung,3,0.25,"CLDN1,DST",Basal,basal cell,CL:0000646,stem cell,Epithelial cells,Hepatocytes,Epithelial cells,Endothelial cells,hepatocyte,CL:0000182,epithelial cell,CL:0000066,epithelial cell,CL:0000066,endothelial cell,CL:0000115,-1,17,17,-1,0.3333,0.3333,0.2857,0.3333
11,1011,1011,1011,Lung,3,0.25,"VCAN,S100A9",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,macrophage/monocyte,Macrophages,Macrophages,Immune cells,Macrophages,macrophage,CL:0000235,macrophage,CL:0000235,leukocyte,CL:0000738,macrophage,CL:0000235,3,3,3,3,0.5000,0.5714,0.5714,0.5714
12,1012,1012,1012,Lung,3,0.25,"LEF1,CD6",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,t/nk cell,T cells,T cells,T cells,T cells,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,t cell,CL:0000084,3,3,3,3,0.6667,0.6667,0.6667,0.6667
