cluster,markers,manual_annotation,names,manual_CLname,manual_CLID,manual_broadtype,gpt4o_annotation,gpt4o_CLname,gpt4o_CLID,gpt4o_broadtype,gpt4o_word_annotation,gpt4o_word_CLname,gpt4o_word_CLID,gpt4o_word_broadtype,gpt4o_self_annotation,gpt4o_self_CLname,gpt4o_self_CLID,gpt4o_self_broadtype,gpt4o_ref_annotation,gpt4o_ref_CLname,gpt4o_ref_CLID,gpt4o_ref_broadtype,gpt4o_mark_annotation,gpt4o_mark_CLname,gpt4o_mark_CLID,gpt4o_mark_broadtype
1,"COL1A1, COL3A1, COL1A2, IGFBP5, SPARC, VIM, COL6A2, MDK, COL5A2",POB,Preodontoblast,preodontoblast,CL:0007003,,Fibroblast  ,fibroblast,CL:0000057,fibroblast,Stromal cells  ,stromal cell,CL:0000499,stromal cell,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast,1: Fibroblasts  ,fibroblast,CL:0000057,fibroblast
2,"PRKG1, ADGRL3, SMOC2, ADGRL2, RUNX2, EPHA3, IL1RAPL1, KIF26B, SLIT3, NHS, PRRX1, SGCZ, TMTC2, CNTNAP2, NCAM2, CACHD1, MALAT1, PRKD1, RORA, ZSWIM6, SATB2, ZNF804B, NEGR1, BICC1, LSAMP, MAML2, ROBO2, MIR100HG, SEMA6D, MAGI1, TRPS1, PDZRN3, KAZN, SETBP1, TENM3, NAALADL2, PCDH7, FLRT2",DEM,Dental Ectomesenchyme,neural crest cell,CL:0011012,,Neuron  ,neuron,CL:0000540,neuron,Mesenchymal cells  ,mesenchymal cell,CL:0008019,mesenchymal cell,2: Neuronal cells  ,neuron,CL:0000540,neuron,2: Osteocyte  ,osteocyte,CL:0000137,osteocyte,2: Osteoblasts  ,osteoblast,CL:0000062,osteoblast
4,"PTN, RSPO4, FBN2, NRXN1, NRG3, PDZD2, NFIC, PTCH1, CDH13, SYT1, AGAP1, FHOD3, FAT3, TIAM1, PCDH9",SOB,Subodontoblast,non-terminally differentiated odontoblast,CL:0007012,,Neuron  ,neuron,CL:0000540,neuron,Neural crest cells  ,neural crest cell,CL:0011012,stem cell,4: Neuronal cells  ,neuron,CL:0000540,neuron,4: Neuron  ,neuron,CL:0000540,neuron,4: Neuronal cells  ,neuron,CL:0000540,neuron
5,"COL24A1, NRG1, CLU, LINC01060, SORBS2, SLC38A11, PHEX, DSPP, GRAMD1B, KCNMA1, MTSS1, MMP20, RETREG1, MARCH3, DCLK1, CREB3L1, ADAMTS12, MAP1B, MIR181A1HG, COL1A2, UTRN, COL1A1, AFAP1, FGFR1, TRPM7, SPARC, SHANK2, DOK6, COL27A1, NAV3, LARGE1, NES, DST, SEMA5A, HIP1, MALAT1, MAGI2, AGAP1, ZSWIM6, RASSF8, PCDH7, PCDH9, PTPRK, PDE4B, ANK3, FNDC3B, CDK14, PDZD2, COL5A1, MAML3, NRG3, EML4, COLEC12, TPST1, COL5A2, SATB2, FHOD3, MSI2, MACF1",OB,Odontoblast,odontoblast,CL:0000060,,Osteoblast/mesenchymal progenitor,osteoblast,CL:0000062,osteoblast,Odontoblasts,odontoblast,CL:0000060,,5: Osteoblast/osteocyte,osteoblast,CL:0000062,osteoblast,5: Osteoblast,osteoblast,CL:0000062,osteoblast,5: Odontoblasts,odontoblast,CL:0000060,
1,"COL1A1, COL3A1, COL1A2, IGFBP5, SPARC, VIM, COL6A2, MDK, COL5A2",POB,Preodontoblast,preodontoblast,CL:0007003,,Fibroblast  ,fibroblast,CL:0000057,fibroblast,- Fibroblasts,fibroblast,CL:0000057,fibroblast,1. Fibroblast  ,fibroblast,CL:0000057,fibroblast,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast
2,"PRKG1, ADGRL3, SMOC2, ADGRL2, RUNX2, EPHA3, IL1RAPL1, KIF26B, SLIT3, NHS, PRRX1, SGCZ, TMTC2, CNTNAP2, NCAM2, CACHD1, MALAT1, PRKD1, RORA, ZSWIM6, SATB2, ZNF804B, NEGR1, BICC1, LSAMP, MAML2, ROBO2, MIR100HG, SEMA6D, MAGI1, TRPS1, PDZRN3, KAZN, SETBP1, TENM3, NAALADL2, PCDH7, FLRT2",DEM,Dental Ectomesenchyme,neural crest cell,CL:0011012,,Neuronal cell  ,neuron,CL:0000540,neuron,- Osteoblasts,osteoblast,CL:0000062,osteoblast,2. Neuronal cell  ,neuron,CL:0000540,neuron,2: Neuronal  ,neuron,CL:0000540,neuron,2: Neuronal progenitor cells  ,neural stem cell,CL:0000047,
4,"PTN, RSPO4, FBN2, NRXN1, NRG3, PDZD2, NFIC, PTCH1, CDH13, SYT1, AGAP1, FHOD3, FAT3, TIAM1, PCDH9",SOB,Subodontoblast,non-terminally differentiated odontoblast,CL:0007012,,Neuronal cell  ,neuron,CL:0000540,neuron,- Neural crest cells,neural crest cell,CL:0011012,stem cell,4. Neuronal cell  ,neuron,CL:0000540,neuron,4: Neuronal  ,neuron,CL:0000540,neuron,4: Neuronal/glial cells  ,neuron,CL:0000540,neuron
5,"COL24A1, NRG1, CLU, LINC01060, SORBS2, SLC38A11, PHEX, DSPP, GRAMD1B, KCNMA1, MTSS1, MMP20, RETREG1, MARCH3, DCLK1, CREB3L1, ADAMTS12, MAP1B, MIR181A1HG, COL1A2, UTRN, COL1A1, AFAP1, FGFR1, TRPM7, SPARC, SHANK2, DOK6, COL27A1, NAV3, LARGE1, NES, DST, SEMA5A, HIP1, MALAT1, MAGI2, AGAP1, ZSWIM6, RASSF8, PCDH7, PCDH9, PTPRK, PDE4B, ANK3, FNDC3B, CDK14, PDZD2, COL5A1, MAML3, NRG3, EML4, COLEC12, TPST1, COL5A2, SATB2, FHOD3, MSI2, MACF1",OB,Odontoblast,odontoblast,CL:0000060,,Osteoblast  ,osteoblast,CL:0000062,osteoblast,- Odontoblasts,odontoblast,CL:0000060,,5. Osteocyte/Osteoblast,osteoblast,CL:0000062,osteoblast,5: Osteoblast/Chondrocyte,osteoblast,CL:0000062,osteoblast,5: Osteoblast/matrix-producing cell,odontoblast,CL:0000060,
1,"COL1A1, COL3A1, COL1A2, IGFBP5, SPARC, VIM, COL6A2, MDK, COL5A2",POB,Preodontoblast,preodontoblast,CL:0007003,,Fibroblast  ,fibroblast,CL:0000057,fibroblast,1. Fibroblasts  ,fibroblast,CL:0000057,fibroblast,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast,1: Fibroblast  ,fibroblast,CL:0000057,fibroblast
2,"PRKG1, ADGRL3, SMOC2, ADGRL2, RUNX2, EPHA3, IL1RAPL1, KIF26B, SLIT3, NHS, PRRX1, SGCZ, TMTC2, CNTNAP2, NCAM2, CACHD1, MALAT1, PRKD1, RORA, ZSWIM6, SATB2, ZNF804B, NEGR1, BICC1, LSAMP, MAML2, ROBO2, MIR100HG, SEMA6D, MAGI1, TRPS1, PDZRN3, KAZN, SETBP1, TENM3, NAALADL2, PCDH7, FLRT2",DEM,Dental Ectomesenchyme,neural crest cell,CL:0011012,,Neuron  ,neuron,CL:0000540,neuron,2. Osteoblasts  ,osteoblast,CL:0000062,osteoblast,2: Neuronal  ,neuron,CL:0000540,neuron,2: Neuronal  ,neuron,CL:0000540,neuron,2: Osteoblast  ,osteoblast,CL:0000062,osteoblast
