tissue,simuround,subset,marker,manual_annotation,manual_CLname,manual_CLID,RAG_cell_type
Lung,1,0.25,"SPOCK2,LMO7",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,lung epithelial cell
Lung,1,0.25,"VPREB3,MS4A1",B,B cell,CL:0000236,B-cell
Lung,1,0.25,"S100A2,CLDN1",Basal,basal cell,CL:0000646,pulmonary epithelial cell
Lung,1,0.25,"S100A12,S100A8",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
Lung,1,0.25,"CD2,ITK",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,natural killer t cell
Lung,1,0.25,"CCDC170,SNTN",Ciliated,ciliated cell,CL:0000064,fibroblast
Lung,1,0.25,"FPR3,HLA-DQA1",Dendritic,dendritic cell,CL:0000451,nonclassical monocyte
Lung,1,0.25,"CFD,C1S",Fibroblast,fibroblast,CL:0000057,plasma cell
Lung,1,0.25,"TFF3,TFPI",Lymphatic,,,club cell
Lung,1,0.25,"GPD1,MARCO",Macrophage,macrophage,CL:0000235,macrophage
Lung,1,0.25,"GNLY,NKG7",Natural Killer,natural killer cell,CL:0000623,natural killer cell
Lung,1,0.25,"MANF,PRDX4",Plasma,plasma cell,CL:0000786,fibroblast
Lung,1,0.25,"SFTPA1,SFTPB",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar epithelial cell type II
Lung,1,0.25,"TPSAB1,MS4A2",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
Lung,1,0.25,"IFITM2,FCN1",CD16+ Monocyte,,,nonclassical monocyte
Lung,1,0.25,"CDH5,CD81",Capillary,,,endothelial cell
Lung,1,0.25,"RPL34,RPS27",CD8 T,"CD8-positive, alpha-beta T cell",CL:0000625,unidentified
Lung,1,0.25,"KIAA1324,CTSE",Club,club cell,CL:0000158,goblet cell
Lung,1,0.25,"POSTN,CALD1",Myofibroblast,myofibroblast cell,CL:0000186,fibroblast
Lung,1,0.25,"NPC2,SEC61B",Plasmacytoid Dendritic,plasmacytoid dendritic cell,CL:0000784,pulmonary alveolar type 2 cell
Lung,1,0.25,"TPX2,NUSAP1",Proliferating Macrophage,,,proliferating epithelial cells
Lung,1,0.25,"KIF2C,CENPF",Proliferating NK/T,,,Proliferating_Cell
Lung,1,0.25,"SPRY1,VWF",Bronchial Vessel,,,pulmonary endothelia cells
Lung,1,0.25,"RARRES1,BPIFB1",Mucous,,,goblet cell
Lung,1,0.25,"SELP,PTPRB",Vein,,,microvascular endothelial cell
Lung,1,0.25,"COL4A1,COX4I2",Pericyte,pericyte,CL:0000669,capillary endothelial cell
Lung,1,0.25,"MYL9,CSRP1",Smooth Muscle,smooth muscle cell,CL:0000192,smooth muscle cell
Lung,1,0.25,"FBLN5,HEY1",Artery,,,smooth muscle cell
Lung,1,0.25,"CLDN5,STXBP6",Capillary Aerocyte,,,vascular endothelial cell
Lung,1,0.25,"SRSF11,ACVRL1",Capillary Intermediate,,,pulmonary alveolar type 2 cell
Lung,1,0.25,"WT1,OSR1",Lipofibroblast,alveolar type 1 fibroblast cell,CL:4028004,"The markers WT1 and OSR1 are not typically associated with immune or hematopoietic cells like those listed in the provided database. They are more often related to mesothelial cells or certain progenitor cell types. Without specific database entries for these markers, I would suggest that the cell type might be either a mesothelial cell or possibly a progenitor/stem cell population that could not be explicitly identified from the given database results."
Lung,1,0.25,"DMKN,SLPI",Mesothelial,mesothelial cell,CL:0000077,cell_type_name: pulmonary alveolar epithelial cell
Lung,1,0.25,"GP6,ITGA2B",Platelet/Megakaryocyte,"platelet,megakaryocyte","CL:0000233,CL:0000556",platelet
Lung,1,0.25,"CCL5,CXCR4",Natural Killer T,,,cd8+ mem/eff t cell
Lung,1,0.25,"CNN1,SCX",Fibromyocyte,,,smooth muscle cell
Lung,1,0.25,"WFDC2,PSCA",Goblet,goblet cell,CL:0000160,Unidentified Cell Type
Lung,1,0.25,"PHGR1,STAC2",Ionocyte,ionocyte,CL:0005006,Clara_cells
Lung,1,0.25,"CHGA,SCGN",Neuroendocrine,neuroendocrine cell,CL:0000165,enterochromaffin cell
Lung,1,0.25,"PRB4,PRR4",Serous,serous secreting cell,CL:0000313,goblet cell
Lung,1,0.25,"C1QA,CTSL",Macrophages,macrophage,CL:0000235,macrophage
Lung,1,0.25,"CCL4,CD7",Innate lymphoid cell NK,natural killer cell,CL:0000623,natural killer cell
Lung,1,0.25,"SFTA3,NAPSA",AT2,type II pneumocyte,CL:0002063,alveolar type II cell
Lung,1,0.25,"PECAM1,CLEC14A",EC venous,vein endothelial cell,CL:0002543,vascular endothelial cell
Lung,1,0.25,"CD3D,TRBC2",T cell lineage,T cell,CL:0000084,cd8+ mem/eff t cell
Lung,1,0.25,"GIMAP7,CRIP2",EC arterial,endothelial cell of artery,CL:1000413,multiple_cell_types
Lung,1,0.25,"CALD1,LUM",Fibroblasts,fibroblast,CL:0000057,fibroblast
Lung,1,0.25,"HOPX,SFTA2",AT1,type I pneumocyte,CL:0002062,alveolar epithelial cell
Lung,1,0.25,"TMEM231,RP11-295M3.4",Multiciliated lineage,multi-ciliated epithelial cell,CL:0005012,unidentified
Lung,1,0.25,"TSC22D3,IGLC2",B cell lineage,B cell,CL:0000236,unclassified cell type
Lung,1,0.25,"BPIFB1,TACSTD2",Secretory,secretory cell,CL:0000151,club cell
Lung,1,0.25,"FCN1,COTL1",Monocytes,monocyte,CL:0000576,monocyte
Lung,1,0.25,"CCL28,ZG16B",Submucosal Secretory,,,pulmonary alveolar type 2 cell
Lung,1,0.25,"HYAL2,CLEC14A",EC capillary,capillary endothelial cell,CL:0002144,endothelial cell
Lung,1,0.25,"SDPR,RAMP2",Lymphatic EC mature,,,capillary endothelial cell
Lung,1,0.25,"SDPR,AKAP12",Lymphatic EC differentiating,,,unclassified cell type
Lung,1,0.25,"HLA-DQA1,MS4A6A",Dendritic cells,dendritic cell,CL:0000451,fibroblast
Lung,1,0.25,"CTGF,TPM2",Myofibroblasts,myofibroblast cell,CL:0000186,pulmonary alveolar type 2 cell
Lung,1,0.25,"VWA5A,RGS13",Mast cells,mast cell,CL:0000097,Mast cells
Lung,1,0.25,"FLNA,SELM",Fibromyocytes,,,Alveolar Type II Cells
Lung,1,0.25,"COX20,EID1",Lymphatic EC proliferating,,,Not Found
Lung,1,0.25,"SEMA3A,ST6GALNAC3",Endothelial cell (lymphatic),endothelial cell of lymphatic vessel,CL:0002138,endothelial cell of artery
Lung,1,0.25,"RBMS3,LIMCH1",Epithelial cell (alveolar type I),type I pneumocyte,CL:0002062,cell_type_name
Lung,1,0.25,"SFTPB,LRRK2",Epithelial cell (alveolar type II),type II pneumocyte,CL:0002063,alveolar type II cell
Lung,1,0.25,"MACROD2,FAF1",Epithelial cell (basal),basal cell,CL:0000646,not_a_cell_type
Lung,1,0.25,"CFAP54,AGBL4",Epithelial cell (ciliated),ciliated epithelial cell,CL:0000067,pulmonary alveolar type 2 cell
Lung,1,0.25,"MACROD2,KIAA1217",Epithelial cell (club),club cell,CL:0000158,Club cell
Lung,1,0.25,"ST6GAL1,MEF2C",Immune (B cell),B cell,CL:0000236,endothelial cell
Lung,1,0.25,"ARHGAP15,PARP8",Immune (NK cell),natural killer cell,CL:0000623,Basal Cell
Lung,1,0.25,"SKAP1,BCL2",Immune (T cell),T cell,CL:0000084,Lymphocyte
Lung,1,0.25,"GPCPD1,SLC11A1",Immune (alveolar macrophage),alveolar macrophage,CL:0000583,alveolar macrophages
Lung,1,0.25,"FER,SRGN",Immune (mast cell),mast cell,CL:0000097,mast cell
Lung,1,0.25,"ACTA2,INPP4B",Pericyte/SMC,"pericyte,smooth muscle cell","CL:0000669,CL:0000192",smooth muscle cell
Lung,1,0.25,"PTPRB,EGFL7",Endothelial cell (vascular),endothelial cell of vascular tree,CL:0002139,endothelial cell
Lung,1,0.25,"LAMA2,ROBO2",Fibroblast,fibroblast,CL:0000057,Basal Cell
Lung,1,0.25,"FKBP5,SRGN",Immune (DC/macrophage),"dendritic cell,macrophage","CL:0000451,CL:0000235",mast cell
Lung,1,0.25,"EBF1,ACSL1",Adipocyte,fat cell,CL:0000136,nonclassical monocyte
Lung,1,0.25,AGER,Alveolar Type I,type I pneumocyte,CL:0002062,capillary endothelial cell
Lung,1,0.25,LAMP3,Alveolar Type II,type II pneumocyte,CL:0002063,dendritic cell
Lung,1,0.25,CR2,B cell_memory,memory B cell,CL:0000787,pulmonary alveolar type 2 cell
Lung,1,0.25,"DNAH5,FOXJ1",Ciliated Epithelial,ciliated epithelial cell,CL:0000067,ciliated epithelial cell
