tissue,simuround,noise,marker,manual_annotation,manual_CLname,manual_CLID,RAG_cell_type
Lung,1,0.25,"ARHGEF26,LMO7,AGER,EMP2,GENE37,RTKN2,GPRC5A,SPOCK2,DST,SCEL,LAMA3,GENE83",Alveolar Epithelial Type 1,type I pneumocyte,CL:0002062,cell_type_name
Lung,1,0.25,"GENE65,MS4A1,LINC00926,BLK,SP140,CD79A,GENE48,BANK1,CD22,VPREB3,CD79B,ADAM28",B,B cell,CL:0000236,B-cell
Lung,1,0.25,"CLDN1,GENE9,S100A2,KRT15,KRT5,FHL2,GENE32,DST,KRT17,PERP,ITGA2,KRT19",Basal,basal cell,CL:0000646,basal epithelial cell
Lung,1,0.25,"CSF3R,S100A9,S100A8,CTSS,METTL9,CD99,GENE84,VCAN,S100A12,FCN1,GENE97,CD300E",CD14+ Monocyte,CD14-positive monocyte,CL:0001054,neutrophil
Lung,1,0.25,"CD2,MALAT1,GENE52,GENE30,BCL11B,CD6,CAMK4,LEF1,TRAT1,IL7R,ITK,MAL",CD4 T,"CD4-positive, alpha-beta T cell",CL:0000624,Unidentified cell type with potential lymphocyte involvement
Lung,1,0.25,"GENE39,GENE7,C20orf85,DNAH6,FAM92B,RSPH1,CCDC170,CAPS,ZMYND10,CDHR3,SNTN,FANK1",Ciliated,ciliated cell,CL:0000064,pulmonary goblet cell
Lung,1,0.25,"FCGR2B,HLA-DMB,GENE63,HLA-DQA1,CLEC10A,CSF2RA,GPR183,FPR3,GENE17,HLA-DPB1,RGS1,MS4A6A",Dendritic,dendritic cell,CL:0000451,intermediate monocyte
Lung,1,0.25,"GENE82,C1S,LUM,ABLIM1,CFD,C3,C1R,GENE56,FBLN1,DCN,SLIT2,ADH1B",Fibroblast,fibroblast,CL:0000057,pulmonary alveolar type 2 cell
Lung,1,0.25,"TFF3,TFPI,GENE30,CCL21,IGFBP7,MMRN1,PKHD1L1,PROX1,PPFIBP1,GENE28,TIMP3,TBX1",Lymphatic,,,club cell
Lung,1,0.25,"APOC1,C1QB,C1QA,VSIG4,SLCO2B1,GENE44,ACP5,GENE48,ITGAX,GPD1,MARCO,OLR1",Macrophage,macrophage,CL:0000235,macrophage
Lung,1,0.25,"KLRF1,GENE47,GNLY,GZMB,GENE20,FCGR3A,NKG7,PYHIN1,KLRD1,SPON2,PRF1,CD247",Natural Killer,natural killer cell,CL:0000623,natural killer t cell
Lung,1,0.25,"PRDX4,MANF,SSR4,XBP1,POU2AF1,TNFRSF17,GENE93,GENE24,HSP90B1,MZB1,DERL3,SEC11C",Plasma,plasma cell,CL:0000786,plasma cell
Lung,1,0.25,"SFTPA2,GENE27,SLC34A2,SFTPC,LAMP3,ABCA3,SFTPA1,SFTPD,GENE23,SFTPB,NAPSA,LPCAT1",Alveolar Epithelial Type 2,type II pneumocyte,CL:0002063,alveolar type II cells
Lung,1,0.25,"KIT,VWA5A,CPA3,HPGDS,GRAP2,HDC,GENE69,CD44,MS4A2,TPSAB1,GATA2,GENE59",Basophil/Mast,"basophil,mast cell","CL:0000767,CL:0000097",mast cell
Lung,1,0.25,"LILRB2,COTL1,RPS19,GENE70,LST1,AIF1,FCGR3A,GENE77,SAT1,RHOC,FCN1,IFITM2",CD16+ Monocyte,,,intermediate monocyte
Lung,1,0.25,"GENE82,CDC42EP1,NOSTRIN,PODXL,CDH5,RAMP3,BTNL9,GENE88,CD81,FCN3,EPAS1,FLNB",Capillary,,,smooth muscle cell
