"cell_type_formatted","marker","neg_log10_p"
"club cell","SCGB3A2",Inf
"club cell","CYP2B7P",166.786264174897
"club cell","MGP",158.833308797714
"club cell","RPLP2",132.693553372188
"club cell","RNASE1",122.897338245038
"club cell","SFTPB",120.194941193861
"club cell","CYB5A",112.828321454233
"club cell","VIM",112.491712085188
"club cell","HSD17B11",106.338371955644
"club cell","CTSE",106.033152257833
"club cell","C16orf89",101.549099961629
"club cell","RPL27A",100.493379292601
"club cell","RPL34",93.7991167252796
"club cell","RPL26",93.3363524075647
"club cell","RPL21",91.6053001560901
"club cell","RPS29",90.9753279751041
"club cell","RPS19",89.0455629379891
"club cell","RPS14",88.6224843401975
"club cell","AADAC",88.3083270539268
"club cell","RPS23",86.0968754836355
"club cell","SFTA1P",85.2878215068028
"club cell","RPL24",83.3928948096217
"club cell","RPL35",81.7596042871516
"club cell","RPS24",81.6188390818934
"club cell","RPL39",80.3049106605283
"club cell","CST3",79.9065875696093
"club cell","RPS28",79.8141130603263
"club cell","RPS25",78.6797443086609
"club cell","AGR3",77.776000194537
"club cell","RPS15A",76.5042082016431
"club cell","HOPX",75.0020728029633
"club cell","RPS21",74.0894708463476
"club cell","RPL22",73.7339510117347
"club cell","RPS18",73.3834885783919
"club cell","RPL32",72.2340565708107
"club cell","RPS27A",71.3876314416353
"club cell","RPL37",69.2046091288442
"club cell","KIAA1324",68.326837853704
"club cell","STEAP4",67.4929852412699
"club cell","MET",67.376102516845
"club cell","RPS6",67.0441463447691
"club cell","RPS3",66.6162090324941
"club cell","RPS3A",66.3369978909674
"club cell","RPL9",66.279293951896
"club cell","S100A13",66.0544693067422
"club cell","SLPI",65.7834200215462
"club cell","RPL35A",65.1758625027287
"club cell","FOLR1",63.661094315798
"club cell","RPL10",62.8621177717745
"club cell","RPL31",61.9606802441446
"club cell","FABP5",61.9333628552638
"club cell","TPT1",61.4117175520671
"club cell","RPL12",60.6225233771175
"club cell","RPL5",59.9589959685035
"club cell","GDF15",58.8043013384397
"club cell","RPL13",57.4278962134044
"club cell","RPS12",56.4249716449985
"club cell","RPS8",55.5704237005138
"club cell","RPL13A",54.4213478769022
"club cell","RPL7A",54.2333534500893
"club cell","RPS27",54.08466246771
"club cell","ARHGDIB",54.0472303801122
"club cell","RPL11",53.6505669274315
"club cell","RPL23A",53.623048447139
"club cell","CMAHP",53.4381513088918
"club cell","SOX4",53.2406109755465
"club cell","RPL37A",52.7940296561424
"club cell","MS4A15",52.2530394353275
"club cell","RPL29",52.2262459724172
"club cell","LRRC75A-AS1",51.3143293895742
"club cell","RPL23",51.294414000368
"club cell","CRACR2B",51.0948073171041
"club cell","RPS13",50.7261175186607
"club cell","PTP4A1",50.6686407146181
"club cell","MRPS25",49.7169136892767
"club cell","RPS20",49.6964206372461
"club cell","FAM46A",49.4130528255492
"club cell","PIGR",49.1375994584014
"club cell","RPL30",48.935709888754
"club cell","RPS5",48.8675748863928
"club cell","CXCL17",48.276741633633
"club cell","RPL17",47.9557001384486
"club cell","RPL14",47.6098499720671
"club cell","RPS11",47.1483909188147
"club cell","RPS15",45.9873239650245
"club cell","CD74",45.8023583800836
"club cell","FAU",45.6216013745744
"club cell","HLA-DRB5",45.5883151934271
"club cell","JUND",45.1952659184674
"club cell","RPL38",43.6094585768513
"club cell","CEACAM6",43.0766720149533
"club cell","HLA-DRB1",42.201722984874
"club cell","RPL36",42.0808446777599
"club cell","RPL18",41.9954071069978
"club cell","ZFAS1",41.7125637393546
"club cell","RPL18A",41.6350870294098
"club cell","RPS17",41.4069532708297
"club cell","FAM129A",41.2102333064223
"club cell","RPS7",40.9842797681178
"club cell","HSD17B13",40.8713991400627
"club cell","SLC22A31",40.228679508475
"club cell","CIT",39.9777480940342
"club cell","GPRC5A",38.4687656644199
"club cell","SSR4",38.4061832127258
"club cell","RPS9",38.1744606875334
"club cell","RPS16",38.0524883317116
"club cell","ERP27",37.407196674767
"club cell","SLC22A3",37.3408027193349
"club cell","RPL27",37.1144848045385
"club cell","DAPK1",37.0469739402797
"club cell","RPL7",36.512915319579
"club cell","RPL19",35.8816587542102
"club cell","AREG",35.4464367572364
"club cell","SDPR",35.3459160372439
"club cell","ADIRF",34.4945325658317
"club cell","RPL15",34.3824645609542
"club cell","LTA4H",33.3736210079667
"club cell","HSD17B6",32.5424691705992
"club cell","XAGE2",32.3839212289624
"club cell","HLA-DRB6",31.3498421239698
"club cell","SERP1",31.3158112790044
"club cell","SNHG6",31.3088390457206
"club cell","WSB1",31.2890586972538
"club cell","HNMT",30.7563951306586
"club cell","FOSB",30.7369351489578
"club cell","GAS5",30.647498521198
"club cell","BCAM",30.3461581458723
"club cell","FAM46C",29.2853810068675
"club cell","AARD",29.1820026731024
"club cell","RPL41",28.9813849508534
"club cell","HLA-DPB1",28.6860713767316
"club cell","TMSB4X",28.2263576138513
"club cell","RNF145",28.198174425227
"club cell","ATL2",28.0207829146858
"club cell","GLTSCR2",27.4484982028873
"club cell","TM4SF1",27.4111647861809
"club cell","ATP1B1",27.176737467569
"club cell","ZFP36L1",27.1326823179194
